scale,seed,variant,source_mse,normalized_mse,source_mae,cosine_mean,cosine_zero_norm_count,epochs,best_epoch,seconds,micro_batch_size
1k,11,detanet_original_uv,0.0002883032718725285,0.47778192844190387,0.009260617421384901,0.766021290165649,0,1000,958,1182.3205011859536,64
1k,11,detanet_mto_planned,0.000258655402092646,0.4286488877184196,0.0050827962957720385,0.8362682922300144,0,231,79,354.35551702976227,64
