scale,seed,variant,source_mse,normalized_mse,source_mae,cosine_mean,cosine_zero_norm_count,epochs,best_epoch,seconds,micro_batch_size
10k,11,detanet_original_uv,0.0002942808733328258,0.4897009246341832,0.007305407484007713,0.8418851026383716,0,495,343,4034.4059706032276,64
10k,11,detanet_mto_planned,0.00020135669923914402,0.3350695567875937,0.0037897902895727242,0.9052103081683833,0,238,86,2318.076679997146,64
