scale,cohort,seed,arm,parameters,best_epoch,validation_mse,mse,mae,cosine,pearson,global_rmse,mean_molecule_rmse,source_mse,source_global_rmse,source_mae
10k,within_scale,11,baseline,179057,44,0.29223371571849566,0.3768576866826043,0.17489366904459894,0.8871942038238049,0.8656326596830041,0.6138873566727078,0.4305006844624877,0.00022709520048099524,0.015069678181069272,0.004293281625302637
10k,within_scale,11,mto,178972,91,0.2742425272067776,0.3513951250375831,0.15478111207298934,0.9053725920915604,0.8873756693676114,0.5927859015172199,0.3876518747024238,0.00021175140958624872,0.01455168064473134,0.003799559515430013
10k,within_scale,23,baseline,179057,76,0.2974796480084769,0.41527575690345836,0.17823888047784567,0.88693217651546,0.8652555838376284,0.6444189296594711,0.43884640383720397,0.00025024600691856113,0.015819165809819465,0.00437539971944273
10k,within_scale,23,mto,178972,94,0.275874798865756,0.35877427901374176,0.160463376740925,0.9029240955710411,0.8843565278947353,0.5989776949217239,0.40453193632140755,0.00021619810262400344,0.014703676500249977,0.003939047483303416
10k,within_scale,37,baseline,179057,70,0.28214862478669966,0.4073549378346652,0.1702063456643373,0.8926859608888627,0.8721146537959575,0.6382436351697252,0.4292050691023469,0.00024547290540579764,0.015667574968890294,0.004178217429724483
10k,within_scale,37,mto,178972,59,0.27129641341499516,0.3971918174053426,0.15865689461398869,0.9050080533027649,0.8866814149431884,0.6302315585602982,0.3951881171334535,0.0002393485885801909,0.01547089488621104,0.003894702044361109
10k,within_scale,53,baseline,179057,29,0.31345212865795474,0.37644602072407723,0.17514388947747647,0.8874850815683604,0.865426980599761,0.6135519706789941,0.43028483222052455,0.00022684712974584362,0.015061445141348277,0.004299424024810961
10k,within_scale,53,mto,178972,92,0.2822667060479289,0.3263005808517337,0.15746183728799223,0.9035909939110279,0.8850422579795122,0.5712272584985189,0.3915745081491768,0.0001966293867530928,0.014022460082064515,0.0038653658328966704
10k,within_scale,71,baseline,179057,42,0.31027696655062026,0.42908970202389174,0.17650201983563601,0.8793928433209658,0.8557606472671032,0.6550493889958923,0.43447187045961616,0.00025857031805089683,0.016080121829479304,0.004332763345458211
10k,within_scale,71,mto,178972,71,0.2751929693935672,0.32784364916943015,0.1534441872863099,0.9056461255252362,0.8874437581785023,0.572576326064421,0.38390627899207175,0.00019755924282700718,0.014055576929710397,0.0037667407481617775
10k,common_fresh_test,11,baseline,179057,44,0.29223371571849566,0.3466615777425908,0.17320439715302424,0.8868193566325762,0.8645021418706786,0.5887797361854353,0.41944722711365146,0.00020889896445926926,0.0144533374851371,0.004251813457747708
10k,common_fresh_test,11,mto,178972,91,0.2742425272067776,0.3247563560319212,0.15432204677280184,0.9049421250930119,0.8862590156049949,0.5698739825890643,0.38077299413325505,0.00019569883376867564,0.013989239928197514,0.003788290401865894
10k,common_fresh_test,23,baseline,179057,76,0.2974796480084769,0.4082474922139095,0.17582979634232299,0.8851705847433335,0.8625066265916975,0.6389424795816204,0.4278772085302038,0.000246010760471138,0.015684730168897962,0.004316261634517482
10k,common_fresh_test,23,mto,178972,94,0.275874798865756,0.32914133497084946,0.1573192337522807,0.9008540615152365,0.8815041319722492,0.5737084058743165,0.39057488955950304,0.00019834123090274163,0.014083367172048793,0.003861865207957426
10k,common_fresh_test,37,baseline,179057,70,0.28214862478669966,0.3798669715844897,0.1685666546940425,0.8879820608691767,0.8660126781991454,0.6163334905588773,0.41729745002562135,0.0002289086016195361,0.015129725761544262,0.0041379663723111575
10k,common_fresh_test,37,mto,178972,59,0.27129641341499516,0.3484812305805778,0.15851855684023744,0.9005192760936598,0.8809235701045921,0.5903229883551697,0.38877631096044635,0.00020999549092178108,0.014491221167375133,0.0038913061351473796
10k,common_fresh_test,53,baseline,179057,29,0.31345212865795474,0.3583992352252908,0.17274537545525975,0.8839271268935396,0.8608610350132239,0.5986645431502444,0.42005382362693544,0.00021597210048224762,0.014695989265178701,0.004240545414533834
10k,common_fresh_test,53,mto,178972,92,0.2822667060479289,0.3187958733537127,0.1555468900907158,0.903965996919787,0.8850541865766797,0.564620114195122,0.3823485871626758,0.00019210703491036738,0.01386026821206456,0.003818357798469791
10k,common_fresh_test,71,baseline,179057,42,0.31027696655062026,0.3849565695667245,0.17485093759316114,0.880310882947192,0.8565196916658483,0.6204486840720387,0.4256455541487233,0.00023197560360725656,0.015230745339846521,0.004292232655627048
10k,common_fresh_test,71,mto,178972,71,0.2751929693935672,0.3336426813983685,0.15511819842460028,0.902652484819256,0.8833848951823972,0.5776181103448614,0.3835232437152635,0.0002010537513196405,0.014179342414923215,0.0038078342954573135
