scale,seed,variant,source_mse,normalized_mse,source_mae,cosine_mean,cosine_zero_norm_count,epochs,best_epoch,seconds,micro_batch_size
full,11,detanet_original_uv,0.00011185669468229366,0.17757147114617863,0.003893796819577153,0.9306015324162721,0,551,399,57364.67641221173,64
full,11,detanet_mto_planned,7.760705946170259e-05,0.12320049112022367,0.0024212579282499535,0.9476021820103925,0,236,84,29677.98220103979,64
