id,A_mse,B_mse,MTO_relative_improvement_percent,A_cosine,B_cosine
19441,0.00012480597257526953,2.2632948255299958e-05,81.86549266169918,0.5942691230174414,0.9255421042038164
114196,0.00021979567748838216,0.0002892905046093778,-31.617922570232974,0.7698161557623172,0.7631202525909173
43669,0.00010562327118757259,3.7167580000177624e-05,64.81118262833098,0.8667876540695915,0.9816525648905006
122349,0.0001115769673338885,3.277762108305279e-05,70.62330885462464,0.8886640803638243,0.9917749009066972
11246,0.0012813149149962962,0.0004858788019359026,62.07967329114349,0.561746649060711,0.8721752548903404
45528,0.00015338243858008434,0.0002640974171990187,-72.18230433931171,0.8883916741581456,0.8158107100877116
22095,0.0002639907593887771,0.00019878512901692254,24.699966969611516,0.6868128641282839,0.7971078690009809
35726,5.893905259526353e-05,3.9814354934387025e-05,32.448261074378735,0.8885795246540582,0.963419355673104
7813,3.507042359684122e-05,1.211295955378737e-05,65.46104006887907,0.745081508837421,0.9372775548254157
83739,3.2625118137436784e-05,2.1358660125635366e-05,34.533079587145906,0.8926753475762971,0.9397873348485928
32925,0.0008143625761383,0.0009774154693010814,-20.022149585504863,0.7126190120562582,0.6222730586362907
7725,0.0001810412523999591,0.00021106245732075609,-16.58252167548736,0.808477352248104,0.8326255992408106
6487,5.398259608675219e-05,0.00017468399550716457,-223.59317293010585,0.8576593386737634,0.8637752288340124
64585,0.0002821704735424552,0.0002792736468907011,1.026622883459936,0.6975255086342143,0.7648820279678614
26486,0.0004143188260041879,0.0002964547844582159,28.44766738762207,0.7903927275610406,0.8654075849387941
65425,0.00012266335389634898,4.549023440779267e-05,62.91456823671062,0.6815455554410714,0.9374640686400707
66534,0.00010424581798468609,1.033394183575238e-05,90.08694829631395,0.746004404275487,0.945702756025909
107247,6.57710453531159e-05,2.4057076815255688e-05,63.42299763353847,0.6695456341534326,0.8865495960440524
12576,0.0007615007904084551,0.0004799586533408884,36.972008514469515,0.7145995950493994,0.8305995384232155
79007,0.00015137265405207917,5.134492835075684e-05,66.08044651638875,0.8378911557752009,0.763679490037662
34083,0.00013668008312965602,9.624768408757137e-05,29.581778205190357,0.7250551163552864,0.9357931036224307
121433,0.00040416028072641345,0.000309506969245559,23.4197460746836,0.8185462342410528,0.8666924716807316
125337,0.000658523402364651,0.0001607322491068119,75.5920217064954,0.6808521192911464,0.9304703498814094
71310,0.00015823838376172907,9.573650250776446e-05,39.49855892618203,0.3613146686394182,0.35685565538592373
66411,0.00024378271740395133,0.00037675121929661313,-54.543859100697105,0.7444218231385299,0.8127276418519731
113147,0.0004632851058554763,0.00034990586336791304,24.472887441137033,0.8181195195249524,0.9902217534317855
95518,0.00016274849073360904,5.994321870822597e-05,63.168187650758256,0.8247721416420132,0.9741350781753471
76994,8.202717797364192e-05,5.42663658848473e-05,33.843431865613006,0.6845573770395975,0.81570390134143
84323,0.0017370851457093716,0.0020641503394627824,-18.82839160540098,0.6438267016018262,0.5612120861633866
8590,6.0828346901130306e-05,1.7278308597989207e-05,71.59497261026479,0.7646746773145825,0.9268866527051328
22617,0.0001807829478514109,0.0002447040072174411,-35.35790301337944,0.8250220906707991,0.7749347595944047
71420,6.123718552573365e-05,4.741473037348803e-06,92.25719961385832,0.8436164861701284,0.9336997478315183
23062,0.0002338887222156397,0.0003196046242475564,-36.64815525089266,0.8237892704795824,0.7208313833798601
94366,4.130051118166888e-05,2.168361102406098e-05,47.49795970156129,0.7959473112123637,0.9256380068835117
50871,0.0003934389345693156,0.00019213305644200137,51.165723684077435,0.8032719187307025,0.9240863743699888
69944,5.1910786814152544e-05,2.9455579898678005e-05,43.25730410495826,0.7523045873069678,0.9728277841969292
2257,4.431685442710531e-05,7.266114604504147e-05,-63.95826595625903,0.816679305817673,0.7115889108027059
60956,0.00015960337298247864,0.00040249809597126305,-152.1864597532344,0.8324948479861191,0.560557899652769
45855,0.0007826832332063322,0.0008836233457245027,-12.89667495554494,0.7425739503557395,0.8081600568764329
26039,0.00039449966161372597,0.0005107761338571853,-29.474416218209935,0.7808779830258031,0.7015780618983883
96952,0.0005812807656303459,0.0003699851824877277,36.35000427263191,0.7757034245302842,0.8491588286593978
81251,4.2795689488707e-05,1.9249729628367955e-05,55.019466076256094,0.6422578985850337,0.9697644116387001
130842,0.0003603206113180762,0.0005430121147025484,-50.70248485541108,0.8357019224415759,0.7595161754880027
