scale,seed,variant,source_mse,normalized_mse,source_mae,cosine_mean,cosine_zero_norm_count,epochs,best_epoch,seconds,micro_batch_size
1k,11,detanet_original_uv,0.0002883032713883413,0.47778192763949917,0.00926061730207011,0.766021302143383,0,1000,958,1182.3205011859536,64
1k,11,detanet_mto_planned,0.0002586554324927075,0.4286489380980074,0.0050827965537629735,0.8362682701568674,0,231,79,354.35551702976227,64
